12:23:54.352449 IP localhost.38610 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.353138 IP localhost.57296 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.353826 IP localhost.9869 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.354478 IP localhost.10989 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.355180 IP localhost.7309 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.355865 IP localhost.37736 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.356647 IP localhost.1540 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.357303 IP localhost.13474 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.358366 IP localhost.16656 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.359852 IP localhost.14085 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.361117 IP localhost.46874 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.361865 IP localhost.52445 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.362540 IP localhost.5665 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.363197 IP localhost.38822 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.363948 IP localhost.23732 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.364769 IP localhost.27988 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.365422 IP localhost.45169 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.382275 IP localhost.47622 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.383208 IP localhost.61172 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.384038 IP localhost.4778 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.384858 IP localhost.31669 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.386104 IP localhost.42149 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.386895 IP localhost.51377 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.388165 IP localhost.32266 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
